Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Male,30,Slovakia (Slovak Republic),Business and Finance,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,59,France,Tech and Engineering,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,24,French Southern Territories,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,35,Japan,Tech and Engineering,College Degree,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,36,Cyprus,Health and Wellness,High School Graduate,Science and Technology,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,29,Marshall Islands,Public Service and Non-Profit,Post-Graduate Degree,Music and Performing Arts,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,18,Heard Island and McDonald Islands,Education and Research,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,56,Slovakia (Slovak Republic),Health and Wellness,Some College,Science and Technology,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,21,Romania,Business and Finance,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,35,Samoa,Arts and Entertainment,Post-Graduate Degree,Politics and Social Activism,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,54,Ukraine,Business and Finance,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,19,Ireland,Tech and Engineering,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,21,Australia,Education and Research,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,49,Brazil,Trades and Services,College Degree,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,65,Bermuda,Trades and Services,Post-Graduate Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,46,Libyan Arab Jamahiriya,Health and Wellness,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,21,Albania,Business and Finance,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,40,Kiribati,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,63,Gabon,Arts and Entertainment,High School Graduate,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,26,Brunei Darussalam,Health and Wellness,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,63,Haiti,Business and Finance,High School Graduate,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,67,Madagascar,Tech and Engineering,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,55,Gambia,Tech and Engineering,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
